kanban_id,work_order_id,sales_order_id,part_no,work_center_id,process_id,process_seq,expected_start_time,actual_start_time,produce_status,planned_today_flag,started_today_flag,overdue_not_started_so_far_flag,started_on_time_today_flag,started_late_today_flag
S-W-20250923163525243-0018,T10-000632404,S11-250800038^3,30550194,A007,A003,10,2025-10-21 03:31:03.600,,0,1,0,1,0,0
S-W-20250923163528734-0021,T10-000632480,S11-250800038^6,30517071,A007,A003,10,2025-10-21 03:54:48.000,,0,1,0,1,0,0
S-W-20250916195647012-0031,T10-000632532,S11-250900017^2,30500710,A007,A003,10,2025-10-21 03:55:13.200,,0,1,0,1,0,0
S-W-20250923163528734-0026,T10-000632484,S11-250800038^6,31300023,A007,A003,10,2025-10-21 04:56:02.400,,0,1,0,1,0,0
S-W-20250923163544191-0047,T10-000632509,S11-250900015^1,30500710,A007,A003,10,2025-10-21 05:03:20.400,,0,1,0,1,0,0
S-W-20250916195647822-0030,T10-000632507,S11-250900015^1,30500578,A007,A003,10,2025-10-21 05:13:24.000,,0,1,0,1,0,0
S-W-20250923163545671-0079,T10-000632618,S1A-241200023^1,31310053,A007,A003,10,2025-10-21 05:31:31.200,,0,1,0,1,0,0
S-W-20250923163545671-0081,T10-000632617,S1A-241200023^1,31310052,A007,A003,10,2025-10-21 06:11:19.200,,0,1,0,1,0,0
S-W-20250923163730218-0006,T10-000633543,S1A-250900015^1,30500331,A007,A003,10,2025-10-21 07:08:12.000,,0,1,0,1,0,0
S-W-20250930204610412-0001,T20-000965519,T20-000965519^0,43690700,A10008,S1,10,2025-10-21 06:30:00.000,,0,1,0,1,0,0
S-W-20250930204610572-0001,T20-000965521,T20-000965521^0,43690584,A10008,S1,10,2025-10-21 06:30:00.000,,0,1,0,1,0,0
S-W-20250923163616319-0049,T20-000965518,S11-250800033^7,43690873,A20034,S1,10,2025-10-21 05:45:52.320,,0,1,0,1,0,0
S-W-20250923163613489-0023,T20-000965327,S11-250800033^4,32147021,A20037,S1,10,2025-10-21 05:00:07.600,,0,1,0,1,0,0
S-W-20250923163614619-0048,T20-000965388,S11-250800033^5,32147021,A20037,S1,10,2025-10-21 05:01:20.400,,0,1,0,1,0,0
S-W-20250925110533992-0016,T20-000964192,S11-250900021^1,21020496,A20119,S1,10,2025-10-21 00:20:00.000,,0,1,0,1,0,0
S-W-20250925110533992-0017,T20-000964191,S11-250900021^1,21020495,A20119,S1,10,2025-10-21 00:20:00.000,,0,1,0,1,0,0
S-W-20250925110533992-0018,T20-000964190,S11-250900021^1,21020493,A20119,S1,10,2025-10-21 00:20:00.000,,0,1,0,1,0,0
S-W-20250925110533992-0019,T20-000964189,S11-250900021^1,21020491,A20119,S1,10,2025-10-21 00:20:00.000,,0,1,0,1,0,0
